DEPARTAMENTO,MUNICIPIO,OPERADORA,CONTRATO,CAMPO,MES,ACEITE,YYYY,FECHA
cf33cb8a,cf33cb8a,d5580f74,76a16657,1f d2689f,ENERO,12371.08371324317,2017,2017-01-01
cf33cb8a,cf33cb8a,d5580f74,76a16657,9ac1420f,ENERO,5.367155830777619,2017,2017-01-01
cf33cb8a,cf33cb8a,d5580f74,76a16657,9b395bc9,ENERO,120.4628308685643,2017,2017-01-01
cf33cb8a,cf33cb8a,d5580f74,29ded6f4,2f614c0b,ENERO,23208.87975192778,2017,2017-01-01
cf33cb8a,cf33cb8a,d5580f74,29ded6f4,043b305e,ENERO,4386.088856141294,2017,2017-01-01
cf33cb8a,cf33cb8a,d5580f74,29ded6f4,fca93f9e,ENERO,17.53972493718176,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,76a16657,13276557,ENERO,163.0142035661673,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,76a16657,c220f014,ENERO,219.6675151132644,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,76a16657,1fd2689f,ENERO,367.2116812848374,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,76a16657,9ac1420f,ENERO,0.0,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,76a16657,1ab355bf,ENERO,224.6137175455496,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,3f10a1f5,ENERO,1701.318239456756,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,c6da2541,ENERO,0.0,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,0e01f88f,ENERO,335.0789051999204,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,241d3779,ENERO,177.1161424156614,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,5559f8d7,ENERO,0.0,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,a1fdefb8,5dd16431,ENERO,1411.000712296524,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,29ded6f4,2f614c0b,ENERO,59.70522368616672,2017,2017-01-01
cf33cb8a,102a28a6,d5580f74,29ded6f4,3f67010a,ENERO,1688.373922453116,2017,2017-01-01
